playlist_id,playlist_name,playlist_type,source_type,data_source,follower_count_approx,track_count_target,notes
KAGGLE_SONGWRITER_FAN,Songwriter (Kaggle fan-curated proxy),fan_curated,kaggle_genre,singer-songwriter,unknown,60,"Kaggle 'singer-songwriter' — personal/curated fan playlists."
KAGGLE_ALTERNATIVEFAN,Alternative (Kaggle fan-curated proxy),fan_curated,kaggle_genre,alternative,unknown,60,"Kaggle 'alternative' genre — diverse alt fan playlists."
KAGGLE_INDIEPOP_FAN,Indie-pop (Kaggle fan-curated proxy),fan_curated,kaggle_genre,indie-pop,unknown,60,"Kaggle 'indie-pop' — fan-assembled indie-pop playlists."
KAGGLE_JAZZ_FAN,Jazz (Kaggle fan-curated proxy),fan_curated,kaggle_genre,jazz,unknown,60,"Kaggle 'jazz' — fan-curated jazz playlists. Very high entropy (jazz = variable features)."
KAGGLE_SOUL_FAN,Soul (Kaggle fan-curated proxy),fan_curated,kaggle_genre,soul,unknown,60,"Kaggle 'soul' — fan-curated soul playlists."
KAGGLE_BLUES_FAN,Blues (Kaggle fan-curated proxy),fan_curated,kaggle_genre,blues,unknown,60,"Kaggle 'blues' — fan-curated blues playlists."
KAGGLE_RNBFAN,R&B (Kaggle fan-curated proxy),fan_curated,kaggle_genre,r-n-b,unknown,60,"Kaggle 'r-n-b' — fan-assembled R&B playlists."
GHOST_RWN_AMBIENT,Relaxing White Noise (ghost-suspect),ghost_suspect,neo4j_catalog,RWN_ex4,unknown,60,"280 tracks from Relaxing White Noise (DOJ indictment). Audio features from ex4 Kaggle join. Ghost-suspect: CUSTOM_REGISTRANT DEPI8/DE1QW, HHI=0.67."
GHOST_MRC_AMBIENT,Meditation Relax Club (ghost-suspect),ghost_suspect,neo4j_catalog,MRC_ex4,unknown,60,"172 tracks from Meditation Relax Club (DOJ indictment). Ghost-suspect: CUSTOM_REGISTRANT ITO10/ITLU5, HHI=0.52."
GHOST_CALMO_AMBIENT,Calmo (ghost-suspect),ghost_suspect,neo4j_catalog,CALMO_ex4,unknown,60,"37 tracks from Calmo (DOJ indictment). Ghost-suspect: CUSTOM_REGISTRANT ITIWE/CH654, HHI=0.45."
KAGGLE_AMBIENT_GHOST2,Low-variance ambient candidates (ghost-suspect),ghost_suspect,kaggle_lowvar,ambient_lowvar,unknown,60,"Kaggle ambient tracks with artist total_variance < 0.005. Represents bulk-upload ambient ghost pattern."
KAGGLE_SLEEP_GHOST2,Low-variance sleep candidates (ghost-suspect),ghost_suspect,kaggle_lowvar,sleep_lowvar,unknown,60,"Kaggle sleep tracks with artist total_variance < 0.005. Represents bulk-upload sleep ghost pattern."
KAGGLE_NEWAGE_GHOST2,Low-variance new-age candidates (ghost-suspect),ghost_suspect,kaggle_lowvar,newage_lowvar,unknown,60,"Kaggle new-age tracks with artist total_variance < 0.005. Represents bulk-upload ghost pattern."
API_BLOCKER_NOTE,SPOTIFY API BLOCKER,metadata,blocker_note,N/A,N/A,N/A,"CONFIRMED BLOCKER (April 2026): Spotify playlist tracks endpoint (/playlists/{id}/tracks) returns HTTP 401 for ALL playlists under Client Credentials flow. OAuth user authentication required. Editorial playlists (37i9...) return HTTP 404 even with OAuth. WORKAROUND: Using Kaggle dataset genre groups as playlist proxies. Ghost-suspect playlists use Neo4j exercise 4 catalog data joined with Kaggle audio features."
