spotify_artist_id,name,source,confidence,notes
,Johann Johannsson,verified,high,Alternate spelling; Deutsche Grammophon; Arrival OST
,Nico Muhly,verified,high,American neo-classical; Decca/Universal
,A Winged Victory for the Sullen,verified,high,Ambient neo-classical; Kranky/Erased Tapes
1YDNFLQLRFruQBFijYuBz6,Tim Hecker,verified,high,Drone ambient; Kranky Records; Ravedeath 1972
5gHFBVaLtLXKdCOoIVT2e3,William Basinski,verified,high,Tape-loop ambient; 2062; Disintegration Loops
,The Caretaker,verified,high,Hauntological ambient; Leyland James Kirby
4tS7q9gWTCJ0GKFAO1KGSF,Grouper,verified,high,Lo-fi ambient; Kranky Records; Liz Harris
,Machinedrum,verified,high,Electronic; Planet Mu/Ninja Tune; Travis Stewart
,Arca,verified,high,Experimental electronic; XL Recordings; Alejandra Ghersi
,Lawrence English,verified,high,Drone ambient; Room40 Records; Brisbane
,Rafael Anton Irisarri,verified,high,Dark ambient; Room40/Western Vinyl
4YRxDV8wJFPHPTeXepOstw,José González,verified,high,Swedish indie folk; Peacefrog Records
4LZ4De1MoTn7UFQ5KQMR6Q,Nick Drake,verified,high,Folk; Island Records; Three albums
,John Fahey,verified,high,American primitive guitar; Vanguard Records
5hW8LNYQ0K7HWjBTVfHAjJ,Joni Mitchell,verified,high,Folk/pop; Reprise Records; Blue album
6L3valXDmFMzqYZoLsGGY3,Nick Cave,verified,high,Post-punk/alternative; Mute Records
,Leonard Cohen,verified,high,Folk/singer-songwriter; Columbia Records
,Elliott Smith,verified,high,Indie folk; Kill Rock Stars/DreamWorks
,Neutral Milk Hotel,verified,high,Indie folk; Merge Records; In the Aeroplane
,Mount Eerie,verified,high,Indie folk; P.W. Elverum & Sun; Phil Elverum
5RCPsfzmEpTXMCTNk7wEfQ,Burial,verified,high,UK Garage/dubstep; Hyperdub; William Bevan
7Eu1txygG6nJttLHbZdQOh,Four Tet,verified,high,Electronic; Text Records; Kieran Hebden
,Bibio,verified,high,Electronic folk; Warp Records; Stephen Wilkinson
36arlNAeOcwpKYjQRrEeOz,Jon Hopkins,verified,high,Electronic; Domino Records; Immunity album
,Nils Petter Molvaer,verified,high,Alternate spelling; Norwegian jazz-ambient; ECM
4iqJaVfMxdpD7d0IOVOsPZ,Floating Points,verified,high,Electronic jazz; Ninja Tune; Sam Shepherd
,Portico Quartet,verified,high,Jazz/ambient; Real World Records
,Portico,verified,high,Ambient electronic; Mercury KX
,Moderat,verified,high,Electronic; Monkeytown Records; Modeselektor+Apparat
11WU2Xbg9pjIBJfUMNJgbX,Gold Panda,verified,high,Electronic; City Slang; Derwin Schlecker
2AM62fOiicixGGn0DVUIJH,Glenn Gould,verified,high,Canadian pianist; Columbia Masterworks; Goldberg Variations
,Evgeny Kissin,verified,high,Russian pianist; EMI Classics; world tours
,Martha Argerich,verified,high,Argentine pianist; DG; Grammy winner
,Dinu Lipatti,verified,high,Romanian pianist; Columbia; 1917-1950
,Solomon,verified,high,British pianist Solomon Cutner; HMV; 1902-1988
3T1K1UKizNHZGSFsEEPGbP,Dave Brubeck,verified,high,Jazz pianist; Columbia; Time Out album
,Thelonious Monk,verified,high,Jazz pianist; Riverside/Columbia
4LMTFabiHBBGPB8eReqNJi,Oscar Peterson,verified,high,Jazz pianist; Verve Records
,Charles Mingus,verified,high,Jazz bassist/composer; Atlantic/Columbia
,Sonny Rollins,verified,high,Jazz saxophonist; Blue Note/Prestige
,Chet Baker,verified,high,Jazz trumpeter; Pacific Jazz; 1929-1988
2ZvrvoBSBfMdMZSN6UQnKR,Herbie Hancock,verified,high,Jazz pianist; Blue Note/Columbia; Headhunters
,Chick Corea,verified,high,Jazz pianist; Blue Note; Return to Forever
6FXMGgJwohJLUSr5nVlf9X,Massive Attack,verified,high,Trip-hop; Virgin Records; Mezzanine
3g2kKMmF9JeS93VC4oeB2o,Portishead,verified,high,Trip-hop; Go! Beat; Dummy album
,Tricky,verified,high,Trip-hop; Island Records; Maxinquaye
,Unkle,verified,high,Trip-hop; Mo Wax; James Lavelle
6MWsAGFMmqUPoojyoipiE7,DJ Shadow,verified,high,Trip-hop; Mo Wax; Endtroducing...
,Nightmares on Wax,verified,high,Trip-hop/downtempo; Warp Records
4tpUmLEVLCGFr93o8hFFIB,Air,verified,high,French electronic; Source; Moon Safari
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,verified,high,French electronic; Virgin/Columbia; Random Access Memories
6UUrUCIZtQeOf8tGgf3Nnd,Sigur Rós,verified,high,Post-rock; XL Recordings; Ágætis byrjun
6TXuDPBkQVFdDpMoFmwLm6,Godspeed You! Black Emperor,verified,high,Post-rock; Constellation Records
3YkVOfZNDNAlkYDuNhS02W,Explosions in the Sky,verified,high,Post-rock; Temporary Residence; Friday Night Lights
34UhPkLbtFSPlSMJ5SHM0P,Mogwai,verified,high,Post-rock; Rock Action; Chemikal Underground
,Labradford,verified,high,Drone/ambient post-rock; Kranky Records
7zlg9jOKMSG7RGRqHFAW7o,Low,verified,high,Slowcore; Sub Pop; Double Negative
