name,label,source,confidence,notes
Solomon,organic,verified,high,British pianist Solomon Cutner; HMV; 1902-1988
Thelonious Monk,organic,verified,high,Jazz pianist; Riverside/Columbia
Charles Mingus,organic,verified,high,Jazz bassist/composer; Atlantic/Columbia
Sonny Rollins,organic,verified,high,Jazz saxophonist; Blue Note/Prestige
Chet Baker,organic,verified,high,Jazz trumpeter; Pacific Jazz; 1929-1988
Chick Corea,organic,verified,high,Jazz pianist; Blue Note; Return to Forever
Tricky,organic,verified,high,Trip-hop; Island Records; Maxinquaye
Unkle,organic,verified,high,Trip-hop; Mo Wax; James Lavelle
Nightmares on Wax,organic,verified,high,Trip-hop/downtempo; Warp Records
Labradford,organic,verified,high,Drone/ambient post-rock; Kranky Records
