spotify_artist_id,name,source,confidence,notes
,Dan Gibson's Solitudes,Kaggle-variance,low,new-age; variance=0.031; 90 tracks; large catalog typical of ghost
,The Civil Wars,Kaggle-variance,low,acoustic; variance=0.031; 13 tracks
,The Mayries,Kaggle-variance,low,acoustic; variance=0.032; 10 tracks
,Laura Sullivan,Kaggle-variance,low,new-age/piano/sleep; variance=0.033; 23 tracks
,Brian Crain,Kaggle-variance,low,new-age; variance=0.033; 21 tracks
,Canyon City,Kaggle-variance,low,acoustic; variance=0.034; 10 tracks
,Meeresrauschen,Kaggle-variance,low,sleep; variance=0.034; 24 tracks; German name
,Obie Hans,Kaggle-variance,low,study; variance=0.034; 11 tracks
,Raimu,Kaggle-variance,low,chill; variance=0.035; 11 tracks
,Yiruma,Kaggle-variance,low,classical/new-age/piano; variance=0.036; 93 tracks
,Henrik Janson,Kaggle-variance,low,guitar; variance=0.038; 24 tracks
,Paul Cardall,Kaggle-variance,low,new-age/piano; variance=0.038; 40 tracks
,Los Tecolines,Kaggle-variance,low,guitar; variance=0.039; 32 tracks
,Dither,Kaggle-variance,low,idm; variance=0.040; 16 tracks
,BigRicePiano,Kaggle-variance,low,piano; variance=0.040; 14 tracks
,Smyang Piano,Kaggle-variance,low,piano; variance=0.041; 47 tracks; YouTube cover channel
,Maneli Jamal,Kaggle-variance,low,guitar; variance=0.043; 10 tracks
,Los Tres Caballeros,Kaggle-variance,low,guitar; variance=0.043; 12 tracks
,Ever So Blue,Kaggle-variance,low,piano; variance=0.043; 11 tracks
,PIÑA PINK,Kaggle-variance,low,study; variance=0.043; 10 tracks
,Jim Brickman,Kaggle-variance,low,new-age/piano; variance=0.044; 76 tracks
,Bhimsen Joshi,Kaggle-variance,low,classical; variance=0.046; 11 tracks
,Little Symphony,Kaggle-variance,low,ambient/guitar; variance=0.046; 94 tracks; very large catalog
,Lucas Cervetti,Kaggle-variance,low,world-music; variance=0.047; 12 tracks
,Joseph Sullinger,Kaggle-variance,low,acoustic/guitar; variance=0.048; 13 tracks
,Guus Dielissen,Kaggle-variance,low,acoustic/guitar; variance=0.049; 13 tracks
,Akira Kosemura,Kaggle-variance,low,ambient/classical/piano; variance=0.049; 11 tracks
,Tenno,Kaggle-variance,low,chill; variance=0.050; 12 tracks
,Blackburri,Kaggle-variance,low,study; variance=0.050; 14 tracks
,Eddy Tyler,Kaggle-variance,low,acoustic/guitar; variance=0.050; 11 tracks
,Tony O'Connor,Kaggle-variance,low,new-age; variance=0.052; 35 tracks
,Gramatik,Kaggle-variance,low,trip-hop; variance=0.052; 11 tracks
,Avslappning Sound,Kaggle-variance,low,sleep; variance=0.053; 20 tracks; Swedish name = likely Firefly-adjacent
,Kevin Kern,Kaggle-variance,low,new-age/piano; variance=0.056; 10 tracks
,Jóhann Jóhannsson,Kaggle-variance,low,ambient/classical; variance=0.057; 20 tracks
,Chamin Madero,Kaggle-variance,low,guitar; variance=0.059; 11 tracks
,Firefly Entertainment,DN,high,The production label behind Johan Röhr's 656 pseudonyms; ISRC SEWA
,Epidemic Sound,other,high,Production library music; named in Pelly investigation; Overtone Studios sublabel
,Relaxing Sounds,other,med,Generic ambient factory brand; common ghost-artist naming pattern
,Sleep Sounds White Noise,other,med,Common ghost artist naming pattern; white noise category
,Nature Sound Collection,other,med,Nature-sounds category; common ghost artist naming pattern
,Binaural Beats Brain Waves,other,med,Binaural beats category; common ghost naming pattern
,White Noise Therapy,other,med,Therapy-adjacent ambient; common ghost naming pattern
,Ambient Music Therapy,other,med,Therapy-adjacent; common ghost naming pattern
,Relaxing Rain Sounds,other,med,Rain sound generator brand; common ghost pattern
,Study Music Alpha Waves,other,med,Study music factory; alpha waves branding common in ghost artists
,Focus At Will,other,med,Study/focus music service; functional music factory pattern
,Calm Radio,other,med,Ambient radio brand; functional music factory
,White Noise Baby,Kaggle-variance,low,sleep; high-variance outlier but name pattern matches ghost factory
,Pink Noise,Kaggle-variance,low,sleep; functional noise generator
